"business_id","business_lat","business_long","business_stars","business_stars_pre_2020","review_count","review_count_pre_2020","check_in_count","check_in_count_pre_2020","attribute_count","business_park","business_happy_h","business_price","business_open","n_photo"
"0BJy9The-xE_M912gkwDHQ","40.0299678","-75.1807177","3.0","2.9",7,"7",32,"32",4,0,0,"1","0",NULL
"0bvtIbpsqBJZpRKSPwIfNw","39.950201","-75.142285","4.0","3.9",324,"271",367,"334",19,1,1,"3","1","12"
"0CEUpFtaKhxbmrbSdP9MUQ","39.9389483","-75.1564078","4.0","3.9",79,"70",52,"52",13,1,1,"2","0","2"
"0cHDa2cXCF4PZzO2krXypg","39.9569332","-75.2023914","4.0","4.1",12,"11",23,"23",4,0,0,"1","1",NULL
"0CSiz9Q_xuZ9YNq8KLRcSg","40.09453","-75.018255","4.0","4.1",22,"14",2,"2",10,1,0,"2","1","1"
"0De2juaQqHNUYs-vNEj9RA","40.0196839","-75.1107755","3.5","3.2",15,"11",22,"21",9,1,0,"1","1","1"
"0dfspevYKsugYiU1UVl94Q","39.9775302","-75.1855542","3.0","2.8",12,"12",7,"7",1,0,0,NULL,"0","1"
"0Dw9eqJsbfuVKsgAoc9NZg","40.0505154","-75.0641719","4.5",NULL,9,NULL,4,NULL,11,0,0,NULL,"1","4"
"0dzW328vFS78FjYMA62tRg","39.9456163329","-75.2394029769","2.0","1.7",14,"11",13,"12",7,1,0,"1","1","7"
"0EpCmB1qbtH6Xh1RgBnQaQ","40.0878058324","-75.0353127586","4.0","3.8",29,"30",19,"19",11,1,0,"2","0","9"
"-0eUa8TsXFFy0FCxHYmrjg","39.9524461","-75.1873206","4.0","4.0",26,"27",33,"33",12,1,0,"1","0","1"
"0F1WFFm8TJde117UZPbkfA","39.991077","-75.178587","3.5","3.3",11,"10",6,"6",4,0,0,"1","1",NULL
"0f4snVRBbsomhoGkFD7GUA","39.9214837","-75.1485312","3.0","3.1",87,"79",43,"34",12,1,0,"1","1",NULL
"0h4Oo6W8mG4HEYQzZRkoOA","40.0348900461","-75.1003371425","3.5","3.4",57,"57",224,"213",8,1,0,"1","1","1"
"0HDWFQ0PtF-BSDy1JMyQKg","39.9498515913","-75.1482060179","3.0","3.1",7,"8",5,"5",0,0,0,NULL,"0",NULL
"0hPp_rLhzOVZ0YRbojvSeQ","40.0295108576","-75.0583856691","4.0","4.0",55,"41",56,"51",8,1,0,"1","1",NULL
"0IEn6AxLNFfdfuwd2bQlbQ","39.941938","-75.152868","3.5","3.5",181,"176",143,"142",11,1,0,"1","1","2"
"0ievJ8EHvr1YjXA1_I-YUg","39.9742043947","-75.1815459547","4.0","3.8",62,"70",82,"82",9,1,0,"1","0",NULL
"0IFmbpwP1JiWVCG7z9KORw","39.9223166","-75.1648601","4.0","4.0",43,"43",26,"26",9,1,0,"2","0",NULL
"0IheZIsRS5tejvxocP18mQ","39.9799378","-75.1554021","5.0","5.0",9,"9",32,"32",3,0,0,NULL,"1",NULL
"0ijmmbTvd8fcLclFVdpIsQ","39.9493319","-75.1616733","3.5",NULL,65,NULL,52,NULL,16,1,1,"2","1","3"
"0iVXOxmY96LgM6sa5tg8ZQ","39.9552368156","-75.1570234","4.5",NULL,21,NULL,25,NULL,5,1,0,NULL,"1","4"
"_0JDs_1DLtLH5XppCbSk_A","39.948399","-75.14314","3.5","3.4",29,"30",19,"19",5,1,0,"2","0",NULL
"0jfIDaLE1TlsTvVMEkA3dg","39.9253435","-75.1770914","4.5","4.6",6,"5",11,"9",7,0,0,"1","1","1"
"0jJf0DNHvYI0itdQSezsgg","40.0387413","-75.0361757","3.0","3.4",17,"14",55,"49",4,1,0,"1","1","5"
"0JoB3ThhI-DS78-1Ks1EUQ","39.9242167","-75.1703845","3.5","3.6",105,"85",75,"72",9,1,0,"1","1","14"
"0jPp69hbYMOzRYbhLEzCjQ","39.9449658","-75.1773865","4.0","3.8",50,"53",19,"19",11,1,0,"2","0",NULL
"0-JRAY0LpBazDuA9761U5w","39.94941083","-75.1686977423","4.0","4.0",313,"247",459,"414",19,1,1,"2","1","8"
"0K4RwxdAcViifyU3Htzxww","39.9404771","-75.1493607","4.0","4.1",224,"206",428,"422",13,1,0,"3","1","4"
"0KEMPs7BD_WHI6zGpDcKjw","39.948257","-75.174199","4.0","4.1",167,"168",587,"578",4,1,0,"2","1","1"
"0lFkJT6DqT3eMnpW9gP_bw","39.9620406","-75.1407855","3.0","2.9",40,"38",101,"101",7,1,0,"2","0","1"
"0lGN91IoLe02MtEu9Xtf1w","39.9225254","-75.1856193","1.5","1.3",22,"23",16,"16",8,0,0,"1","0","2"
"0-Lihni2Ak2RL6RwHb4fpw","39.9865131","-75.1566358","4.0","3.9",9,"8",2,"2",5,1,0,"1","1",NULL
"0ll5CZSx6qVVV2TJPcW6mA","39.9511843","-75.1635217","4.0","4.2",9,"10",12,"11",6,1,0,NULL,"1","3"
"0LLqluhzWOkz2H0GmSY_Sg","39.9480619","-75.1430228","2.5","2.4",5,"5",NULL,NULL,2,0,0,"3","0","1"
"-0M0b-XhtFagyLmsBtOe8w","39.9674385747","-75.1754522324","3.5","3.7",18,"18",57,"57",11,1,0,"2","0","1"
"0m5uP9SGYT7w6liaBROwXw","39.9260608","-75.1681768844","4.5","4.5",24,"4",10,"1",5,1,0,NULL,"1","2"
"0mijbNf-7wiKJ9xto1pAyg","39.9493776356","-75.169540979","4.5","4.4",325,"218",279,"200",16,1,1,"3","1","11"
"0MqOEmf84nhurrynm-_rtQ","39.9660455611","-75.1392937134","3.5","3.3",5,"4",4,"4",6,0,0,"1","0",NULL
"0n6rbrYy_zlr9N1WnEmr9Q","39.9674703","-75.1711596","3.5",NULL,9,NULL,4,NULL,1,0,0,NULL,"1","5"
"0nFhxTqIlkIAJypUkON-rQ","40.0812146","-75.037495","2.5","2.7",74,"63",21,"19",9,1,0,"1","1",NULL
"0Nqa0zPHoB_GVucVMd9f6w","39.9253969","-75.144875","3.5","3.4",52,"46",138,"137",15,1,0,"2","1","1"
"0NQZc7V3Uysw4TFR7igOfA","39.9481458","-75.1428828","3.5","3.6",9,"9",NULL,NULL,5,0,0,"3","0",NULL
"0nwOwZGlB4v6XfuPLd-HWA","39.9545061","-75.1947435","2.5","2.4",128,"134",203,"203",13,1,1,"2","0",NULL
"0o8k654DD4h8ywBOXP1GRA","39.9581334616","-75.158424899","4.5","4.6",239,"157",181,"116",12,0,0,"2","1","12"
"0OsR9lO16jxa0xWUY57s9g","39.9487051045","-75.1531596925","4.5","4.6",280,"264",277,"259",16,1,1,"2","1","8"
"0oSSjekU-3GR8gselReWnA","39.9493338","-75.1661758","4.5","4.4",1290,"1132",1349,"1292",12,1,0,"4","1","76"
"0p5Q__lOXxnp74afXHP5tg","39.9497474","-75.1447211","3.5","3.4",64,"67",48,"48",17,1,0,"2","0","2"
"0-PClaUWGphUvuTH8wQ51w","39.9427774","-75.1456566","4.5","4.6",73,"43",140,"34",11,1,1,"2","1","15"
"0PDe8TxXHoROxpu-jH8e6A","39.9497992","-75.1604137","4.0","3.8",296,"282",762,"762",11,1,1,"2","0","3"
"0pnIIgi4sm96CllW0DhXug","39.9516","-75.174548","4.0","4.0",191,"197",248,"248",8,1,0,"4","0","15"
"-0PN_KFPtbnLQZEeb23XiA","39.9230481","-75.1780777","3.5","3.4",9,"11",15,"15",4,0,0,"2","0",NULL
"0PTuPOOXkmoP0s5STUBY1w","39.9490604639","-75.147732608","3.5","3.5",24,"25",18,"18",2,0,0,NULL,"1","4"
"0qbMXG1Aw3a2beoQhU52lQ","40.0300231","-75.1803247","3.5","4.0",37,"12",9,"4",9,1,0,NULL,"1",NULL
"0Qea74cLG3aZNCWC5L_6jA","39.9371811","-75.158225","4.5","4.7",40,"43",1,"1",4,1,0,"1","0","1"
"0R2yKDNMUztQwgo8pG4z-Q","39.948506","-75.143475","3.5","3.6",318,"326",1012,"1012",7,1,0,"2","0","2"
"0RSws84Im4CsZ-W9biXv2g","39.9557436343","-75.1909215376","5.0","4.9",9,"8",9,"8",9,0,0,"1","1",NULL
"0RuvlgTnKFbX3IK0ZOOocA","39.9481225533","-75.1624631121","4.0","4.0",2679,"2490",3668,"3485",13,1,0,"2","1","56"
"0S3TvsmbCeOZ9UitnpRd1A","39.9518328","-75.173394","4.0","3.9",505,"457",1028,"981",16,1,1,"2","1","11"
"0sb5sHF_BNcUzDxuia-D1w","39.942818","-75.183322","4.0","3.8",257,"274",708,"708",8,1,1,"2","0",NULL
"0SWqECZ39P2MlmeXbKnUjg","39.9557404","-75.1683553","3.0","3.1",141,"128",154,"150",15,1,1,"2","1","3"
"-0TffRSXXIlBYVbb5AwfTg","39.9485078263","-75.1619688173","4.5","4.3",1097,"891",1495,"1410",20,1,1,"2","1","52"
"0u7UZC-5t_v8AS8AXTFASw","39.947642","-75.143421","3.5","3.6",78,"78",56,"55",14,1,0,"3","0","17"
"0UCh75Aoz8YMe9nrnjawwg","39.9527","-75.16926","3.5","3.4",23,"24",102,"102",8,0,0,"1","0","1"
"0UCrWo2CihjxkZniTcQGpg","39.9809158","-75.153284","3.5","2.9",13,"10",16,"16",2,0,0,"1","1","1"
"0uWnByfZNCs0MU1Ag10ujw","40.0391044","-75.107755411","2.0","2.5",7,"4",15,"15",5,0,0,"1","1","1"
"0v5gedzRunqlbgtj3u1QCQ","39.9531868891","-75.2029737085","3.5","3.5",65,"58",249,"242",14,1,0,"1","1","8"
"0vfmJXYVLZAMpUuNJx6ejw","39.9482179212","-75.2068880573","4.5","5.0",25,"1",12,"1",5,1,0,"1","1",NULL
"-_0w82rV27l51N3ABkCI0A","39.936093","-75.1586309","4.5","4.6",126,"115",265,"259",11,1,0,"1","1","1"
"0WazipZOwJa63JGwOMubBg","39.948182","-75.1431548","4.5","4.5",7,"8",3,"3",10,1,1,NULL,"0","7"
"0w_FJ-oa1NnjWYiUQdG-Ow","39.956484","-75.211282","4.0","4.1",7,"9",NULL,NULL,7,1,0,"2","0",NULL
"0WJRKvGsX3NdoNdZuDFlWg","40.0798800282","-75.1736598462","3.0","3.0",11,"11",5,"5",5,0,0,"2","0",NULL
"0wlZLeOAxvxqRrpRlo6PpQ","39.9497935036","-75.160552","4.0","4.1",36,"25",30,"19",0,0,0,NULL,"1","7"
"0wreSpWN2YuG4pLVDespcg","39.952932","-75.19483","4.5","4.3",10,"10",29,"29",5,0,0,"1","1",NULL
"0X5TTmfBPPY98Ra2CcSw0Q","39.9284095243","-75.1632106304","4.5","4.7",244,"178",220,"161",13,1,0,"2","1","106"
"0xadnlAs2uV7Ax-7RViZEw","39.9500962","-75.1462398","4.5",NULL,34,NULL,9,NULL,9,0,0,"2","1",NULL
"0xIhMfCFH94RXTFGx_Mhtw","39.9506686","-75.1696549","3.5","3.7",166,"168",162,"162",16,1,1,"2","0","11"
"0yN1rxCrEKqQIUk-nqyWVw","39.9508785","-75.1528953034","3.0","2.6",10,"9",49,"49",8,0,0,"1","0","2"
"0yNUjszQ0kOphvZs_kvvqA","39.9506623443","-75.1620064822","3.0","3.0",121,"124",97,"97",12,1,0,"2","0","3"
"0z6wOy39zBALHmj-aFxB7g","39.9595568","-75.1950971","4.5","4.0",7,"4",4,NULL,0,0,0,NULL,"0",NULL
"0Z8ps_OfcR9eJaV2JtxigA","39.9471691145","-75.16239379","4.0","4.2",217,"210",853,"840",9,1,0,"1","0","13"
"0zf4KKZqbqoxiuKzeZLDdg","39.949216187","-75.1590522333","3.5","3.6",65,"47",132,"129",8,1,0,"1","1","4"
"0zQtELENNywry4zSxQBWlg","39.9691698","-75.1361942","4.0","4.2",29,"29",49,"49",10,1,0,"1","0","1"
"0ZQVSAC4uwZR1JXmDrh9CQ","39.9529553879","-75.1654761494","2.5","2.5",6,"6",28,"28",5,0,0,"1","0",NULL
"0zWAsCBzvuCI_Ydx7yH1Jw","39.9346322655","-75.1551747608","4.0","4.1",84,"69",158,"147",12,1,0,"2","1",NULL
"0zwoiosqg2_VgqtOuQGS9A","39.9498363","-75.1441472","4.0","3.9",34,"37",47,"47",7,1,0,"2","0",NULL
"10wt8eSXI_PZfl9dRIiWmg","40.110566","-75.0238988","4.0","4.0",89,"73",146,"136",14,1,0,"2","1","2"
"115Vnqj_18yog_PWIV0JzA","39.9495193","-75.152609","4.0","3.8",13,"13",NULL,NULL,5,1,0,"2","0",NULL
"1197WeMfKy-gUOOukAPEEQ","39.9543106","-75.2442075","2.5","2.5",10,"11",8,"7",8,1,0,"1","1",NULL
"11HXgzo47w5e5pziFXpTNg","39.955696","-75.19161","1.5","1.7",39,"39",21,"21",4,1,0,"3","0",NULL
"11uo3yawm_d1DWCCMpM1tw","39.9228596","-75.1759474","4.0","3.8",49,"40",71,"71",11,1,0,"2","1",NULL
"11x7dlRp4ACo3tnYnHZMaA","39.9512937","-75.1526227","2.0","2.0",6,"6",14,"14",5,0,0,NULL,"1",NULL
"12rhY0NEtsiy_9S0oug2mA","40.0340479","-75.2208998","3.5","3.6",57,"53",92,"91",8,1,0,"1","1",NULL
"12VKtbzIL5tfb3LCOLk43Q","39.95558","-75.193029","4.5","4.5",8,"6",3,"3",4,0,0,"1","1",NULL
"14ZGwnDyydXdSBsLXpSUrA","39.9483087","-75.2178905","4.0","4.0",304,"269",514,"506",12,1,0,"2","1","5"
"15eVb-rIKkWyWjcAvYmmPg","39.9799137","-75.155228","3.5","3.6",9,"10",16,"16",6,1,0,"1","1",NULL
"15JFk0bn7HJ9g9-N7tXl_Q","39.9540118","-75.1562827","4.5","4.3",237,"215",582,"541",6,1,0,"1","1","6"
"17MK8qagV374AuUA4sXuIA","39.949104","-75.164768","3.5","3.5",611,"609",977,"968",15,1,1,"3","1","29"
"17Y8circEnkMMXKfLo8Ztg","39.9346516","-75.1602726","4.0","4.3",154,"129",446,"429",13,1,0,"1","1","5"
"18790ccUVHejWqCmkoSJjA","39.9496781","-75.1738043","4.5","4.2",148,"147",145,"143",11,1,0,"3","1","4"
"18kkPUHXsYj9qfMtiLlgJw","40.0061298","-75.0782137","4.5","4.6",11,"5",3,"1",6,1,0,NULL,"1","3"
"18xZwAzzShCRW_d8ZPpV5w","39.953644","-75.198771","3.5","3.4",20,"20",23,"23",3,1,0,"1","0",NULL
"19aqkl42CAi2V0vH8UJSfg","40.025021","-75.325","4.5","4.7",67,"57",97,"92",6,1,0,"1","1","1"
"1AjSLvf5nZAet1bTqAZCKA","40.0100794","-75.1105018","3.5","3.4",21,"20",52,"52",9,0,0,"1","1","1"
"1ap4i9AtWHttUdCiUcXsOQ","39.9552967","-75.1545468","3.5","3.6",87,"88",176,"176",12,1,0,"2","0","1"
"1AqUAR932UJgGwr6FGfPkw","39.951686","-75.166981","2.5",NULL,8,NULL,13,NULL,2,0,0,NULL,"1",NULL
"-1b2kNOowsPrPpBOK4lNkQ","39.9766178","-75.1408439","4.5","4.5",22,"22",10,"10",11,1,0,"2","0","5"
"-1B9pP_CrRBJYPICE5WbRA","39.950352","-75.1615829","4.0","3.8",822,"811",3552,"3477",14,1,1,"2","1","7"
"1BEXYIqtRq6lZAdfzqicfg","39.9834805","-75.1471324","4.0","4.2",8,"6",1,"1",2,0,0,NULL,"1",NULL
"1bsQMS1SeLxcqXrJQYVfGQ","39.9476279","-75.192598","4.0","4.2",7,"5",7,"4",3,0,0,NULL,"1",NULL
"1_BzX6o0O6w_9yx9NczMrg","40.0403385055","-75.2234230242","3.5","3.9",48,"44",219,"214",9,1,0,"1","1",NULL
"1CCG0WYSoR8ejdgD5-Gaqg","39.9302667","-75.1659499","4.0","3.9",303,"307",317,"317",14,1,0,"2","1","1"
"1cjR9b6qWme6ipVIffWlow","39.9450147098","-75.1771122734","3.5","3.3",12,"7",32,"2",8,1,0,NULL,"1","6"
"1Ck2drCXGh1h5bhc9aIRpg","39.9670823","-75.1733028","3.5","3.3",569,"547",869,"850",18,1,1,"2","1","4"
"1CTNhKEqGbmG5r-sBbDoLg","39.9518097","-75.1757389","4.0","3.8",273,"280",578,"578",9,1,0,"1","0","1"
"1DFvkUjtsqNRNlORaUYlFQ","39.947091","-75.1682158","3.0","3.1",27,"26",2,"2",5,1,0,"2","0","1"
"1DkolDhbc0kydORZCIp7Fw","39.9542677","-75.1678993","3.0","3.2",66,"65",228,"228",13,1,0,"1","1","2"
"1e1qCk-tKAkFn-or-o-h0A","39.955447","-75.154839","3.5","3.6",148,"146",404,"404",11,1,0,"2","0","1"
"1EEL5DATdF7odIRhVpf48A","39.9440531","-75.1701109","4.5",NULL,14,NULL,3,NULL,0,0,0,NULL,"1",NULL
"1el_4ywdqa2lIsI1YPEbsg","40.1290943","-75.0237451","4.0","4.2",28,"22",11,"6",3,0,0,"2","1","12"
"1ENdYUfYzDu9yyI3-MVklA","40.0261216129","-75.2246050321","4.5","4.2",77,"48",116,"86",5,1,0,"2","1","6"
"_1erJ4alN71jOjeoThCfxg","39.9485776","-75.2162769","2.5","2.8",27,"28",20,"20",9,1,0,"1","0",NULL
"1FCxJuEH_3tmxUDVPv1qfw","39.9773029","-75.1436018","4.0","4.2",122,"65",58,"23",8,1,1,"2","1","6"
"1FeB0RbAz9kdoZsTf05arw","39.9809158","-75.153284","3.5","3.4",15,"14",31,"31",7,1,0,"1","1","1"
"1fGaY2WlGv2l4as6UkMFrg","39.9588257","-75.1566756","4.0","3.8",203,"187",766,"753",13,1,0,"2","1","6"
"1FliMoYQnq72HRxEIPY0_A","39.9534075108","-75.1536959659","2.0","2.6",9,"9",20,"20",6,0,0,"1","1","1"
"1-fNb0DyGtCuD4qg2uA7bQ","39.9791026041","-75.1616665689","2.5","2.7",51,"43",37,"33",9,1,0,"1","1","1"
"1fZSiIItAjn8JiDm9HUYvw","39.9508207","-75.1453145","4.5",NULL,19,NULL,7,NULL,6,1,0,NULL,"1","1"
"1Ggw9DE7s9h4q9sRo-f3oA","39.9220776","-75.1508278","3.5","3.8",42,"37",34,"32",12,1,0,"2","1",NULL
"1gWKVWJN2Hy8Hw7WJz5POA","39.9589466","-75.158145","4.0","3.8",5,"5",6,"6",2,0,0,"2","0",NULL
"1hFBAjRLIq82kz5R9kRxfw","39.948891","-75.1627479","3.5","3.5",52,"52",83,"79",7,1,0,"2","1","6"
"1hiDEOPijnrWhDdx1z1yAQ","39.9809158","-75.153284","3.5","3.8",17,"16",8,"7",8,1,0,"1","1",NULL
"1hMteDtsI0JMNBCtKpb24A","39.876011","-75.242965","2.5","2.5",87,"74",275,"251",7,0,0,"2","1","3"
"1I58IN0Ar5Qd3WnE1smgVg","40.066525","-75.158273","3.5","3.4",13,"13",20,"20",2,0,0,"2","0","2"
"1iE5POC7JT8fKs2tZ-CJnA","39.9533758716","-75.1577233755","3.0","3.0",40,"38",297,"297",5,1,0,"1","0",NULL
"1iFeA_iosPL9pWa3acFKJA","39.9828810847","-75.1046955585","4.5","4.6",18,"14",53,"51",10,1,0,"1","1","3"
"_1itCzaA3bDVdPSwNCNPtA","39.9553485","-75.1986908","2.5","2.4",41,"41",91,"91",9,1,0,"2","0",NULL
"1JGfNy-SMPQK86PNWPjJvA","39.9427160282","-75.1572520117","4.0","3.3",6,"3",16,"8",1,0,0,NULL,"0",NULL
"1JTT6PBYcoVwiUdhsSLDEg","39.9263495641","-75.1673861593","4.0","4.2",45,"34",79,"59",5,1,0,"1","1","2"
"1klRUBB6LfKCotq75BVmbA","39.9669206348","-75.1651801826","4.0","3.9",114,"87",116,"89",10,1,1,NULL,"1",NULL
"1kMT0Sb67WORROJCPOuL0Q","40.0339992","-75.0719515","3.0",NULL,5,NULL,3,NULL,2,0,0,NULL,"1","10"
"1KYspvONE-f1RBIQlpunXw","39.9489355","-75.148167","3.5","3.6",5,"5",NULL,NULL,3,0,0,"1","0",NULL
"1LhpU1alopR_l-bWVQPkUA","39.951175","-75.1723916","3.5","3.7",56,"58",268,"268",16,1,1,"2","0",NULL
"1M7b87GZXWOTjQTq3cxRBw","39.9448725","-75.1800695","4.0","4.2",54,"60",94,"94",8,1,0,"1","0","1"
"1MbwLxXrQk7H1FOidg8hoA","39.983751","-75.157055","4.5","4.4",72,"57",29,"26",8,1,0,"1","1","2"
"1MgX6qN2tghHt_UrX3CFew","39.9623818024","-75.1408443239","4.5",NULL,5,NULL,3,NULL,2,0,0,NULL,"1",NULL
"1mHwt5rp9aKqUcFsNTBVVQ","39.951986","-75.17492","3.0","3.1",43,"41",5,"5",7,1,0,"2","0",NULL
"1MPWKk7dBGUUKoys3sBKPA","40.0867447","-75.0387577","4.5","4.4",17,"16",28,"27",2,0,0,"1","1",NULL
"1MVoJvPhP5SkrJGCxuriaQ","39.923491","-75.1405828","1.0",NULL,8,NULL,2,NULL,2,0,0,NULL,"1","2"
"1myzUtTeh1D9HaJzRMu9Zw","39.945475","-75.178674","3.0","3.1",30,"30",119,"119",5,1,0,"2","0",NULL
"1N7RWvz2c_e640PsvnSc0A","39.9714977","-75.1444936","4.0","3.8",309,"303",538,"529",11,1,0,"1","1","1"
"1NCUTTp6rIyXpwUDVv9qOA","39.9727751034","-75.1789870874","4.0","3.8",176,"147",260,"254",12,1,0,"1","1",NULL
"1nK_pMoriYMXfx2GHVdtkQ","39.9834801","-75.1499321","3.0","3.0",5,"5",1,"1",11,1,0,"1","1","1"
"1NMz64NAM9ED-x6-dbVxdw","39.94819","-75.1433","3.5","3.5",241,"224",890,"882",8,1,0,"2","1","1"
"1nXNyhtAS2y-e4O14LJBRQ","39.9544535","-75.1704118","4.0","4.2",13,"13",10,"10",7,1,0,NULL,"0","1"
"1OfhM-ZKvcpxyxptCCzEwA","39.9502943","-75.150981","3.5","3.6",513,"458",1559,"1472",18,1,1,"2","1","8"
"1pDauBMngzqWG4ZTPMEY1Q","39.9439712","-75.2099137","4.0","3.9",118,"123",194,"194",12,1,0,"1","0","4"
"1pkuCWlH3iEuUAQVHpIuHQ","39.9702483665","-75.144223438","3.0","3.1",10,"8",6,"6",2,0,0,"1","0",NULL
"1pZ-gkuPzYARrljU3YRt_A","39.981878","-75.154706","4.5","4.3",16,"18",14,"14",5,0,0,"1","0","1"
"1qBemRZEO3XMlpyKZavTvg","39.950162","-75.166089","4.0","4.1",60,"64",2,"2",7,0,1,"3","0","1"
"1qciFQiO1RJ83Oh7DRioKQ","39.9479485975","-75.1397391496","4.0","3.9",87,"80",240,"238",12,1,0,"2","1",NULL
"1qexUlZZRWIaPWlvGNnmcA","39.9488763","-75.178877","4.5","4.3",9,"9",6,"6",0,0,0,NULL,"0",NULL
"1QpYfl158aRcOWLcyTQgew","39.9824022","-75.1559848","4.0","4.0",13,"13",2,"2",5,0,0,NULL,"0",NULL
"1qw5dIsQPNGLOwnuP7Wj1g","39.9142928","-75.1471501","3.5","3.4",249,"236",1145,"1132",21,1,1,"2","1","8"
"1rj-epXF4KW2z2U7FGISKw","39.991377","-75.110666","3.5","3.7",7,"7",1,"1",4,0,0,"1","0",NULL
"1RUStfReoIm_8NzWXKSbCA","39.945722875","-75.1750066504","4.0","4.1",161,"123",148,"127",20,1,1,"3","1","15"
"1tlRVhbz4l-tkEZLCQK_Ow","40.049329","-75.012364","3.0","2.9",8,"8",12,"12",8,0,0,"1","0",NULL
"1TMkNxmaJuMCZh1osxizPA","39.953511","-75.18839","3.5","3.5",218,"210",791,"761",15,1,0,"2","1","6"
"1uH04sUUaBmtHq89OIXd_Q","39.929332","-75.163804","4.0","4.0",89,"93",60,"60",8,1,0,"2","0",NULL
"1UKBAgYxI9Qax3AA4ULw_w","40.045022","-75.1175037","4.5",NULL,33,NULL,30,NULL,2,0,0,NULL,"1","7"
"1UNJeHTsS7WS9RxRzHw06g","39.9462043942","-75.1577992928","3.5","3.7",597,"619",2313,"2296",18,1,1,"2","1","7"
"1UNorskttXSWuEcgzKzXcA","39.9428742","-75.1456449","3.5","3.6",453,"406",483,"471",19,1,1,"3","1","27"
"1vPSY4EA-fTRIZYz1Ruzow","39.951593","-75.172171","4.5","4.5",356,"177",437,"202",11,1,0,"2","1","34"
"1w1H1kYUN60zpfdP-0qmGQ","40.0626011","-75.2372078","3.0","3.0",30,"27",65,"65",9,1,0,"1","0",NULL
"1w40T5J6br425rMvpS1zgQ","39.9316737","-75.1684579","5.0","4.5",24,"8",11,"4",6,0,0,NULL,"1",NULL
